Time,Temperature
37:00:02.000,25.05
37:10:02.000,25.04
37:20:02.000,25.10
37:30:02.000,25.11
37:40:02.000,25.08
37:50:02.000,25.06
38:00:02.000,25.03
38:10:02.000,24.99
38:20:02.000,24.94
38:30:02.000,24.94
38:40:02.000,24.97
38:50:02.000,24.89
39:00:02.000,25.03
39:10:02.000,24.94
39:20:02.000,25.07
39:30:02.000,24.98
39:40:02.000,25.00
39:50:02.000,25.01
40:00:02.000,25.04
40:10:02.000,24.94
40:20:02.000,24.91
40:30:02.000,24.93
40:40:02.000,24.99
40:50:02.000,24.96
41:00:02.000,25.84
41:10:02.000,24.94
41:20:02.000,24.90
41:30:02.000,24.99
41:40:02.000,25.04
41:50:02.000,24.97
42:00:02.000,25.07
42:10:02.000,25.10
42:20:02.000,24.95
42:30:02.000,25.04
42:40:02.000,25.06
42:50:02.000,25.07
43:00:02.000,25.06
43:10:02.000,25.02
43:20:02.000,24.98
43:30:02.000,24.92
43:40:02.000,24.87
43:50:02.000,24.86
44:00:02.000,24.93
44:10:02.000,25.05
44:20:02.000,24.96
44:30:02.000,24.96
44:40:02.000,24.96
44:50:02.000,25.08
45:00:02.000,24.97
45:10:02.000,24.91
45:20:02.000,24.93
45:30:02.000,25.99
45:40:02.000,26.03
45:50:02.000,25.09
46:00:02.000,25.15
46:10:02.000,25.06
46:20:02.000,24.99
46:30:02.000,24.96
46:40:02.000,24.92
46:50:02.000,24.89
47:00:02.000,24.97
47:10:02.000,24.95
47:20:02.000,24.92
47:30:02.000,25.04
47:40:02.000,24.94
47:50:02.000,24.90
48:00:02.000,25.03
48:10:02.000,24.92
48:20:02.000,24.99
48:30:02.000,25.98
48:40:02.000,24.98
48:50:02.000,25.02
49:00:02.000,25.01
49:10:02.000,25.07
49:20:02.000,25.08
49:30:02.000,25.12
49:40:02.000,25.00
49:50:02.000,24.93
50:00:02.000,25.05
50:10:02.000,25.06
50:20:02.000,24.97
50:30:02.000,24.94
50:40:02.000,24.93
50:50:02.000,25.05
51:00:02.000,25.00
51:10:02.000,24.99
51:20:02.000,25.03
51:30:02.000,25.06
51:40:02.000,24.08
51:50:02.000,25.10
52:00:02.000,25.11
52:10:02.000,25.06
52:20:02.000,25.00
52:30:02.000,24.91
52:40:02.000,24.95
52:50:02.000,24.98
53:00:02.000,24.93
53:10:02.000,24.93
53:20:02.000,25.03
53:30:02.000,24.91
53:40:02.000,25.01
53:50:02.000,24.95
54:00:02.000,25.00
54:10:02.000,24.95
54:20:02.000,24.89
54:30:02.000,24.93
54:40:02.000,24.91
54:50:02.000,24.96
55:00:02.000,24.99
55:10:02.000,24.96
55:20:02.000,24.97
55:30:02.000,25.09
55:40:02.000,25.10
55:50:02.000,25.08
56:00:02.000,26.52
56:10:02.000,24.92
56:20:02.000,24.90
56:30:02.000,25.03
56:40:02.000,25.10
56:50:02.000,24.98
57:00:02.000,25.07
57:10:02.000,24.93
57:20:02.000,25.03
57:30:02.000,24.97
57:40:02.000,24.95
57:50:02.000,24.93
58:00:02.000,24.87
58:10:02.000,24.99
58:20:02.000,25.05
58:30:02.000,25.08
58:40:02.000,25.07
58:50:02.000,25.03
59:00:02.000,24.96
59:10:02.000,25.00
59:20:02.000,25.09
59:30:02.000,25.04
59:40:02.000,25.11
59:50:02.000,26.02
60:00:02.000,24.91
60:10:02.000,25.01
60:20:02.000,25.09
60:30:02.000,25.03
60:40:02.000,25.10
60:50:02.000,25.09
61:00:02.000,25.02
61:10:02.000,24.93
61:20:02.000,24.90
61:30:02.000,25.02
61:40:02.000,24.95
61:50:02.000,24.95
62:00:02.000,24.88
62:10:02.000,24.87
62:20:02.000,24.97
62:30:02.000,25.04
62:40:02.000,25.04
62:50:02.000,25.10
63:00:02.000,24.99
63:10:02.000,25.02
63:20:02.000,25.08
63:30:02.000,24.93
63:40:02.000,25.01
63:50:02.000,25.06
64:00:02.000,25.07
64:10:02.000,25.11
64:20:02.000,25.02
64:30:02.000,25.05
64:40:02.000,25.00
64:50:02.000,25.88
65:00:02.000,27.97
65:10:02.000,26.05
65:20:02.000,25.02
65:30:02.000,24.96
65:40:02.000,24.91
65:50:02.000,24.96
66:00:02.000,25.08
66:10:02.000,25.09
66:20:02.000,25.11
66:30:02.000,25.02
66:40:02.000,25.02
66:50:02.000,24.92
67:00:02.000,25.01
67:10:02.000,25.07
67:20:02.000,25.00
67:30:02.000,24.96
67:40:02.000,25.06
67:50:02.000,25.11
68:00:02.000,25.04
68:10:02.000,24.94
68:20:02.000,25.04
68:30:02.000,24.97
68:40:02.000,24.96
68:50:02.000,24.98
69:00:02.000,24.95
69:10:02.000,24.95
69:20:02.000,24.96
69:30:02.000,25.02
69:40:02.000,24.92
69:50:02.000,24.87
70:00:02.000,24.94
70:10:02.000,25.00
70:20:02.000,25.04
70:30:02.000,25.12
70:40:02.000,25.12
70:50:02.000,25.12
71:00:02.000,25.09
71:10:02.000,24.95
71:20:02.000,25.05
71:30:02.000,25.48
71:40:02.000,25.03
71:50:02.000,25.05
72:00:02.000,24.94
72:10:02.000,24.96
72:20:02.000,24.99
72:30:02.000,25.03
72:40:02.000,25.11
72:50:02.000,25.02
73:00:02.000,25.04
73:10:02.000,25.00
73:20:02.000,25.04
73:30:02.000,25.01
73:40:02.000,25.09
73:50:02.000,25.00
74:00:02.000,25.09
74:10:02.000,24.99
74:20:02.000,25.03
74:30:02.000,25.02
74:40:02.000,24.94
74:50:02.000,25.08
75:00:02.000,25.04
75:10:02.000,25.10
75:20:02.000,25.06
75:30:02.000,24.98
75:40:02.000,24.92
75:50:02.000,24.97
76:00:02.000,24.96
76:10:02.000,24.90
76:20:02.000,24.98
76:30:02.000,24.93
76:40:02.000,25.06
76:50:02.000,24.98
77:00:02.000,25.07
77:10:02.000,24.93
77:20:02.000,25.01
77:30:02.000,25.03
77:40:02.000,25.11
77:50:02.000,25.12
78:00:02.000,25.00
78:10:02.000,25.02
78:20:02.000,24.97
78:30:02.000,25.08
78:40:02.000,24.99
78:50:02.000,25.00
79:00:02.000,25.01
79:10:02.000,25.00
79:20:02.000,25.05
79:30:02.000,24.97
79:40:02.000,24.94
79:50:02.000,24.91
80:00:02.000,24.91
80:10:02.000,25.45
80:20:02.000,24.92
80:30:02.000,24.89
80:40:02.000,24.92
80:50:02.000,24.91
81:00:02.000,24.98
81:10:02.000,25.02
81:20:02.000,24.97
81:30:02.000,24.97
81:40:02.000,24.91
81:50:02.000,24.96
82:00:02.000,25.06
82:10:02.000,24.97
82:20:02.000,25.04
82:30:02.000,25.08
82:40:02.000,24.95
82:50:02.000,25.02
83:00:02.000,25.05
83:10:02.000,24.99
